id,sales
3000888,3.37
3000889,0.0
3000890,6.36
3000891,2152.79
3000892,0.06
3000893,428.32251999999994
3000894,14.56
3000895,859.74
3000896,862.06
3000897,150.11821
3000898,149.29
3000899,156.9463605
3000900,3013.73
3000901,23.99
3000902,1.04
3000903,25.91
3000904,57.87
3000905,0.0
3000906,177.52
3000907,16.59
3000908,30.75
3000909,13.5
3000910,110.01
3000911,6.15
3000912,308.45101060000013
3000913,221.1
3000914,3.02
3000915,14.13
3000916,312.52657020000015
3000917,52.550609359999996
3000918,4142.8691089999975
3000919,357.94
3000920,24.138189999999973
3000921,2.61
3000922,0.0
3000923,3.56
3000924,1395.85
3000925,0.0
3000926,115.05
3000927,2.84
3000928,709.87
3000929,521.02
3000930,228.13209999999998
3000931,35.0
3000932,45.61
3000933,2607.85402
3000934,4.64
3000935,0.6
3000936,16.58
3000937,15.72
3000938,0.4
3000939,180.45
3000940,8.85
3000941,0.0
3000942,30.65
3000943,54.61
3000944,0.66
3000945,170.25730810000002
3000946,173.02
3000947,0.96
3000948,2.24
3000949,122.09262945999988
3000950,24.78
3000951,1948.7780900000007
3000952,357.94
3000953,7.35
3000954,7.59
3000955,0.88
3000956,6.43
3000957,3871.38
3000958,0.0
3000959,1538.39
3000960,12.84
3000961,1921.71
3000962,804.89
3000963,468.6272699999999
3000964,281.47
3000965,81.55997000000002
3000966,7681.07137999999
3000967,23.29
3000968,0.8
3000969,35.69
3000970,30.57
3000971,0.02
3000972,480.73
3000973,17.66
3000974,9.77
3000975,13.85
3000976,73.78
3000977,2.82
3000978,691.0308643999998
3000979,408.27
3000980,2.03
3000981,15.15
3000982,433.4134297000005
3000983,103.10840001999995
3000984,1916.0720900000013
3000985,339.19
3000986,9.08
3000987,3.83
3000988,0.0
3000989,5.89
3000990,1509.16
3000991,0.0
3000992,176.17
3000993,30.05
3000994,743.26
3000995,550.06
3000996,193.36
3000997,72.77
3000998,40.474759999999996
3000999,2876.78
3001000,7.15
3001001,0.71
3001002,11.52
3001003,24.64
3001004,0.27
3001005,166.39
3001006,7.93
3001007,0.0
3001008,28.38
3001009,68.21
3001010,2.93
3001011,133.72917044999988
3001012,185.01
3001013,1.37
3001014,5.98
3001015,173.47066025000012
3001016,45.55
3001017,2033.4332500000016
3001018,361.68
3001019,1.73
3001020,3.58
3001021,0.0
3001022,4.55
3001023,1532.83
3001024,0.0
3001025,120.79
3001026,7.8
3001027,661.83
3001028,518.34
3001029,136.22
3001030,59.41
3001031,27.015949999999997
3001032,2852.77
3001033,6.03
3001034,0.26
3001035,12.09
3001036,23.81
3001037,0.1
3001038,143.43
3001039,7.24
3001040,0.0
3001041,8.4
3001042,67.66
3001043,1.5
3001044,96.39728007999999
3001045,204.07
3001046,0.54
3001047,5.06
3001048,61.56842017999997
3001049,23.8
3001050,2033.4332500000016
3001051,361.68
3001052,1.02
3001053,3.1
3001054,0.04
3001055,4.78
3001056,2020.36
3001057,0.0
3001058,172.75
3001059,8.9
3001060,1025.82
3001061,481.6
3001062,243.67
3001063,38.23
3001064,39.333350020000005
3001065,3128.53
3001066,4.46
3001067,0.21
3001068,13.95
3001069,32.14
3001070,0.09
3001071,207.37
3001072,1.7
3001073,0.0
3001074,12.25
3001075,67.73
3001076,3.99
